Survey ResponseID,frequency,monetary,avg_order_value,total_quantity,recency_days,tenure_days,avg_inter_purchase_days,category_diversity,category_entropy,spend_trend_ratio,future_6m_spend
R_0IilpPYiU01nCzn,14,439.79,31.41,14.0,14.0,166.0,41.5,13,3.6645,5.5709,446.27
R_0InTWTWokrqzy3n,23,307.7,13.38,26.0,9.0,171.0,19.0,12,3.1662,1.1838,1719.1
R_0MwMIcbYO11SOwV,48,1302.92,27.14,51.0,29.0,151.0,7.95,29,4.6395,0.8152,50.97
R_0O3AXCWkBaA1YOZ,4,34.05,8.51,5.0,180.0,0.0,180.0,2,0.8113,0.0,27.97
R_0PMwN9mAFvSiMiR,2,29.96,14.98,2.0,180.0,0.0,180.0,2,1.0,0.0,0.0
R_0Sq4gTizoIawAud,1,14.3,14.3,1.0,180.0,0.0,180.0,1,-0.0,0.0,0.0
R_0TXaBMuEhEzmPVD,375,1997.28,5.33,385.0,27.0,153.0,1.7,104,5.0177,0.3174,800.95
R_0TjMwrWLbhR338J,3,100.86,33.62,3.0,170.0,10.0,10.0,3,1.585,0.0,100.51
R_0USvurXxTDWFvX3,14,382.4,27.31,14.0,72.0,108.0,54.0,9,2.8352,0.8437,0.0
R_0UsrHmkw7rRzoeB,44,1221.2,27.75,45.0,18.0,162.0,9.0,27,4.4251,0.9634,896.68
R_0c8VclJcriEXQqZ,20,451.48,22.57,21.0,3.0,177.0,13.62,16,3.8842,1.4112,320.40999999999997
R_0cS0LOVu2KdO1ix,14,143.11,10.22,14.0,19.0,161.0,40.25,10,3.0931,1.3651,378.31
R_0dNGfZ4GvtFvxu1,7,129.68,18.53,7.0,48.0,132.0,26.4,5,2.1281,0.2356,325.52
R_0dgKWjG8E9DtkfD,5,62.54,12.51,5.0,145.0,35.0,35.0,5,2.3219,0.0,0.0
R_0e9mwIgnQ7UBcGJ,3,31.99,10.66,3.0,81.0,99.0,49.5,3,1.585,0.4541,20.990000000000002
R_0exEFdj5YTDEgqB,6,144.17,24.03,6.0,32.0,148.0,29.6,6,2.585,2.0142,98.03999999999999
R_0eyuL7xzgnVeTRf,1,13.99,13.99,1.0,180.0,0.0,180.0,1,-0.0,0.0,205.81
R_0f8u2tSB99LkgCt,57,1239.14,21.74,57.0,10.0,170.0,6.54,33,4.6195,0.8774,882.91
R_0icLDXwMGw8dAqd,19,329.76,17.36,22.0,59.0,121.0,24.2,16,3.8924,0.7979,335.82
R_0ik28Zx98AWSuWd,162,4031.44,24.89,182.0,1.0,179.0,3.51,84,5.8386,1.215,3361.76
R_0jFt3K3i4558lbj,34,433.6,12.75,36.0,2.0,178.0,13.69,15,3.4285,1.4935,2473.53
R_0jQnZy5LLMrxEsN,29,575.15,19.83,36.0,33.0,147.0,21.0,18,3.8573,1.1372,112.54
R_0lEfGfpAptgrc2d,24,449.83,18.74,24.0,3.0,177.0,12.64,11,2.7842,0.3118,195.32999999999998
R_0lHgeveolyaJhND,72,1316.39,18.28,80.0,2.0,178.0,3.63,42,4.5609,0.9667,1382.68
R_0lebhxAsUG3SsAp,10,353.77,35.38,10.0,10.0,170.0,42.5,9,3.1219,0.1698,0.0
R_0oBzc3D8v94kGiZ,37,926.9,25.05,37.0,28.0,152.0,7.6,22,4.0539,3.0427,1407.15
R_0pRmRjHkwStzNQJ,75,1133.18,15.11,75.0,4.0,176.0,4.09,27,3.443,0.8179,1976.01
R_0pwPNbvgpZlir2V,2,32.58,16.29,2.0,179.0,1.0,1.0,2,1.0,0.0,49.81
R_0rLOCyUSUep8Gyd,8,469.05,58.63,8.0,61.0,119.0,29.75,6,2.4056,59.9948,174.99
R_0vmGaO4F0OdvNQd,11,190.49,17.32,11.0,1.0,179.0,19.89,8,2.914,1.1517,356.35
R_0wCTiXC54rMN0J3,54,758.7,14.05,59.0,7.0,173.0,7.21,37,4.9934,1.1618,908.49
R_10AYiyZ8qGWd6td,4,38.23,9.56,4.0,174.0,6.0,6.0,4,2.0,0.0,195.92
R_10AtO7bUfe8iWYK,44,1454.49,33.06,55.0,72.0,108.0,6.0,25,4.0863,0.508,958.4
R_10CAlrx7dbJty9R,134,3195.57,23.85,141.0,4.0,176.0,3.03,75,5.727,0.5678,3914.92
R_10GfwNctrOL9e2t,45,729.77,16.22,58.0,2.0,178.0,8.48,33,4.8805,0.8863,684.81
R_10HG4OAAtFluUS1,50,1223.84,24.48,50.0,39.0,141.0,7.05,39,5.1239,0.1092,1453.93
R_10HuhR86y7hZJYL,16,221.36,13.84,16.0,12.0,168.0,24.0,9,2.7806,0.4801,571.7
R_10JcbruZLDf9fy2,1,29.99,29.99,1.0,180.0,0.0,180.0,1,-0.0,0.0,25.95
R_10MFxyIhsIDW0nP,41,1067.74,26.04,41.0,6.0,174.0,10.88,26,4.4826,2.9278,1283.03
R_10N9CD1aLy1NjgE,3,46.17,15.39,3.0,68.0,112.0,112.0,3,1.585,0.3203,42.96
R_10O88fl87fP9wfM,5,379.93,75.99,5.0,21.0,159.0,39.75,4,1.9219,1.5329,194.82999999999998
R_10PDLObOugOU8tc,3,193.63,64.54,4.0,134.0,46.0,46.0,3,1.585,0.0,366.27
R_10SesRyoFJEe0pe,1,5.44,5.44,1.0,180.0,0.0,180.0,1,-0.0,0.0,0.0
R_10TA7pCDmelHi5H,37,1025.95,27.73,42.0,1.0,179.0,11.93,28,4.6822,1.7696,986.46
R_10TV1zyi4yCEEkl,73,1883.85,25.81,73.0,9.0,171.0,6.11,48,5.2276,0.2423,2928.28
R_10UIzdrJBjoXiRu,24,484.81,20.2,24.0,1.0,179.0,11.19,13,3.455,0.809,263.01
R_10UUe0vuP5GA2RB,5,340.87,68.17,5.0,83.0,97.0,97.0,5,2.3219,4.0884,287.16
R_10UkIUlEKmHGVjy,4,41.83,10.46,4.0,147.0,33.0,33.0,4,2.0,0.0,53.43
R_10Uv2LWb4NJfaPq,17,191.49,11.26,19.0,49.0,131.0,32.75,16,3.9698,2.1563,348.86999999999995
R_10VEwmndSsl39vM,76,1323.16,17.41,83.0,2.0,178.0,4.34,45,4.8925,3.7384,1210.39
R_10VPzfUmqBTJEiC,94,1249.18,13.29,96.0,6.0,174.0,6.21,49,5.1162,0.4104,21.93
R_10YhHZtIc1xIXOM,17,404.79,23.81,17.0,20.0,160.0,32.0,15,3.8522,0.6545,150.37
R_10YnFpDzlwQlmrX,14,328.65,23.47,14.0,85.0,95.0,13.57,10,3.182,0.0478,126.32
R_10ZbjWZfgeB444P,30,563.49,18.78,31.0,1.0,179.0,13.77,28,4.7736,0.855,129.01
R_10ZbrhoAZPaSEW1,3,108.79,36.26,3.0,30.0,150.0,75.0,2,0.9183,0.2113,368.39
R_10qrHohvVyRhmA4,24,1087.83,45.33,27.0,7.0,173.0,14.42,20,4.1012,2.8816,1431.86
R_10r2RIJOCZFOra8,7,157.06,22.44,8.0,24.0,156.0,31.2,7,2.8074,4.6133,380.58
R_10rsQ6SV3iE7hfu,18,367.66,20.43,19.0,56.0,124.0,13.78,12,3.1972,0.5007,101.91999999999999
R_10uU7A3PqkL1i0o,40,1007.65,25.19,42.0,8.0,172.0,9.05,23,4.0118,2.4555,2169.95
R_10vz4qJDEgUnMop,14,699.7,49.98,14.0,14.0,166.0,18.44,12,3.5216,0.1138,1081.99
R_10wSqGFumZGSTmH,75,1263.59,16.85,77.0,3.0,177.0,6.81,49,5.2972,2.6605,1566.62
R_10xh23ROf2jC9rP,2,14.99,7.5,2.0,112.0,68.0,68.0,1,-0.0,0.0,30.0
R_111J2YLIGckNIeJ,9,149.02,16.56,10.0,19.0,161.0,53.67,9,3.1699,0.6189,179.94
R_111Pbqb8YG1rP4o,1,17.84,17.84,1.0,180.0,0.0,180.0,1,-0.0,0.0,15.440000000000001
R_115Fv5zgtZvcRzJ,5,104.36,20.87,5.0,48.0,132.0,44.0,4,1.9219,6.2322,77.97
R_115sFbCaRGwFZzK,9,406.29,45.14,9.0,48.0,132.0,44.0,8,2.9477,0.8849,199.07999999999998
R_117LDoOnJxdPvkb,25,476.74,19.07,31.0,13.0,167.0,13.92,16,3.6235,1.8992,672.99
R_11WUgIV4IWfGoDX,84,1502.8,17.89,84.0,2.0,178.0,6.14,43,5.0775,0.918,1729.06
R_11XEE8cl6xnH3oW,5,61.81,12.36,5.0,180.0,0.0,180.0,5,2.3219,0.0,0.0
R_11Y3ZtLQrhccXC7,23,1064.87,46.3,24.0,22.0,158.0,31.6,14,3.4686,0.0611,48.22
R_11ZpeDj8UiavB9G,25,589.28,23.57,30.0,1.0,179.0,13.77,17,3.9435,0.7596,25.76
R_11apGEU5o3Mncee,7,66.18,9.45,7.0,5.0,175.0,58.33,7,2.8074,1.6398,246.01
R_11cDnfPRwm1hsCd,18,154.58,8.59,18.0,66.0,114.0,19.0,14,3.5249,0.2923,0.0
R_11cJ3be1pQV32hb,8,126.88,15.86,8.0,15.0,165.0,55.0,5,2.1556,0.5483,224.4
R_11cp7qScmrrE4EF,4,67.38,16.84,4.0,49.0,131.0,131.0,4,2.0,2.0697,182.37
R_11gymhOPZz4baOa,18,510.05,28.34,19.0,10.0,170.0,13.08,15,3.7947,0.425,467.23
R_11hGWSRiBd8HPmC,5,37.86,7.57,6.0,140.0,40.0,10.0,4,1.9219,0.0,0.0
R_11i7d5PEuwRPPSj,4,200.57,50.14,4.0,9.0,171.0,57.0,4,2.0,0.4346,273.31
R_11iFIT1OyPW9JQ4,6,129.04,21.51,6.0,23.0,157.0,31.4,4,1.7925,1.6895,17.57
R_123DkZcbvVjnbzX,5,248.92,49.78,5.0,18.0,162.0,54.0,5,2.3219,0.7232,228.85000000000002
R_1252079aMA9rWUV,6,148.99,24.83,6.0,180.0,0.0,180.0,5,2.2516,0.0,140.03
R_128SoytOm4LO2kk,36,1054.09,29.28,42.0,15.0,165.0,13.75,22,3.8083,0.9214,483.02
R_128UcvT7YzJpnZv,58,2769.33,47.75,61.0,13.0,167.0,18.56,41,4.9674,0.3806,1193.46
R_129jUlsvVcVBDur,32,874.1,27.32,34.0,5.0,175.0,9.72,29,4.8125,1.1797,1344.77
R_12AB3KkLYxo0JrO,12,102.6,8.55,12.0,20.0,160.0,40.0,3,1.0409,0.2403,92.46
R_12DXU1DfwUF0Aq5,2,29.21,14.61,2.0,180.0,0.0,180.0,2,1.0,0.0,281.02
R_12EeuI1AdMnuvET,56,1489.39,26.6,59.0,15.0,165.0,13.75,31,4.3424,0.6045,444.56
R_12EhwlBIzVNKK2P,1,26.99,26.99,1.0,180.0,0.0,180.0,1,-0.0,0.0,190.92000000000002
R_12G93XcmsS5F4Ea,3,57.49,19.16,3.0,82.0,98.0,98.0,3,1.585,0.1654,804.86
R_12J768g8RrIKrIV,1,5.25,5.25,1.0,180.0,0.0,180.0,1,-0.0,0.0,0.0
R_12KdI9rASwBsy9C,6,130.23,21.71,7.0,50.0,130.0,65.0,5,2.2516,0.3201,530.28
R_12L1tdacu5Cc4GE,33,710.25,21.52,33.0,6.0,174.0,11.6,26,4.5367,0.868,756.62
R_12QFQ7lCIls8sRd,41,1747.54,42.62,46.0,1.0,179.0,12.79,18,3.7255,2.4853,642.5600000000001
R_12Qo1HO9MWmZ5Az,47,949.98,20.21,48.0,14.0,166.0,9.76,29,4.5616,0.4073,1106.88
R_12a3hCYZfOXK8ZC,1,40.0,40.0,1.0,180.0,0.0,180.0,1,-0.0,0.0,0.0
R_12bC3rUwQ2h1sz5,37,162.56,4.39,62.0,19.0,161.0,17.89,16,3.5901,0.1877,157.65
R_12bTyDTgHUIoMUQ,19,393.42,20.71,19.0,14.0,166.0,33.2,15,3.7871,0.2538,287.92
R_12bxXZmV1h6iVAL,11,120.94,10.99,11.0,12.0,168.0,33.6,9,3.0958,0.3595,384.13
R_12hBKyfNeSlhKZN,15,172.88,11.53,17.0,47.0,133.0,44.33,9,3.0062,0.7648,146.87
R_12kYTBVH8kS49hc,4,126.16,31.54,4.0,66.0,114.0,114.0,3,1.5,2.488,899.97
R_12ljGcF6IQM7Tee,3,47.97,15.99,3.0,179.0,1.0,1.0,3,1.585,0.0,160.93
R_12mMk3Dq3Oo4HJb,10,316.63,31.66,10.0,21.0,159.0,26.5,8,2.9219,3.2997,272.93
R_12mdsq5k8OiJ8ji,75,1359.18,18.12,79.0,6.0,174.0,4.46,43,5.0583,0.8897,3004.61
R_12n9t5TqwO3mn6n,9,335.7,37.3,10.0,9.0,171.0,24.43,6,2.4194,0.7155,112.00999999999999
R_12nXZsYjzaL70kr,14,263.89,18.85,14.0,5.0,175.0,25.0,12,3.4677,0.932,128.64
R_12osmPZNBfvNohz,13,292.9,22.53,13.0,35.0,145.0,29.0,7,2.4416,1.8534,374.18
R_12sOXAypdX0UEMp,3,131.98,43.99,3.0,79.0,101.0,50.5,2,0.9183,2.3841,187.72
R_12xnmbrb1eoH9nn,77,1499.2,19.47,82.0,29.0,151.0,8.39,52,5.4049,1.5129,252.23
R_12yXy28O9QWzFKM,1,25.0,25.0,1.0,180.0,0.0,180.0,1,-0.0,0.0,0.0
R_1BNwZP0DdTOa4rT,16,327.34,20.46,19.0,5.0,175.0,17.5,11,3.2028,0.5772,1202.99
R_1BOXzyVhrXiWrFg,16,237.76,14.86,16.0,3.0,177.0,17.7,9,2.7806,0.5456,1601.51
R_1BPepcPkpmd3HIv,61,1530.02,25.08,62.0,35.0,145.0,6.04,41,5.0449,1.3743,2823.57
R_1BPfziFOM6qTGYB,4,78.76,19.69,4.0,76.0,104.0,34.67,1,-0.0,0.4689,0.0
R_1BPo7cRkGaVw2zj,12,230.28,19.19,12.0,3.0,177.0,17.7,5,1.7807,0.2156,977.44
R_1BQWWqVdmq0KWpX,8,121.91,15.24,8.0,89.0,91.0,18.2,5,2.1556,0.1041,9.99
R_1BSmAJ72u4DLEly,4,72.54,18.14,4.0,31.0,149.0,74.5,3,1.5,0.5444,0.0
R_1BVIsogXx71n29V,12,133.29,11.11,12.0,21.0,159.0,39.75,7,2.585,3.6121,94.91
R_1BW4IryQMg43RFb,11,164.96,15.0,11.0,1.0,179.0,29.83,9,3.0958,1.6444,0.0
R_1BWAygjxkFXfxql,78,2335.68,29.94,85.0,4.0,176.0,9.26,45,5.0914,0.9257,1195.48
R_1BWxQW5L2MlpDCd,82,1495.19,18.23,89.0,12.0,168.0,9.33,54,5.309,0.2047,1073.86
R_1C10dGVUKtIJdzj,1,24.97,24.97,1.0,180.0,0.0,180.0,1,-0.0,0.0,244.96
R_1C1lcmauvsBML7g,9,116.11,12.9,9.0,39.0,141.0,28.2,9,3.1699,0.1202,104.35
R_1C1nnqKIVMlhfTh,7,422.1,60.3,7.0,2.0,178.0,44.5,5,2.1281,14.422,502.66
R_1C1uOKUbDpVlGeM,48,842.16,17.55,48.0,37.0,143.0,8.94,36,4.9859,1.0723,363.38
R_1C465BAQuYyIY3s,1,33.99,33.99,1.0,180.0,0.0,180.0,1,-0.0,0.0,0.0
R_1C4nKyrv0w2thJn,139,3540.13,25.47,155.0,2.0,178.0,3.3,80,5.7686,1.0227,5322.3
R_1C4tcyEfmcsKI9X,53,1590.7,30.01,57.0,2.0,178.0,6.59,37,4.936,1.6474,3774.32
R_1C6Xm4L63yOxl59,10,78.46,7.85,10.0,7.0,173.0,21.62,3,1.1568,0.6231,24.55
R_1C75XRebT1eliL0,57,2054.57,36.05,64.0,4.0,176.0,5.68,38,4.8359,0.6836,1721.93
R_1C7NqhhPa152vIZ,22,523.8,23.81,22.0,55.0,125.0,20.83,19,4.1524,0.322,861.49
R_1C8RRe41aLesvyd,5,44.63,8.93,5.0,36.0,144.0,48.0,4,1.9219,0.8032,238.11
R_1C8t1JAe5Wo7sSl,13,276.88,21.3,13.0,57.0,123.0,15.38,11,3.3927,0.4354,82.0
R_1C8w4NDDQC5fcgE,304,5237.7,17.23,309.0,1.0,179.0,1.85,139,6.2218,0.644,4551.54
R_1C9JNFshblsSjyF,10,83.62,8.36,10.0,66.0,114.0,22.8,6,2.161,0.3142,177.01
R_1C9YUFD8GunlGej,73,1687.66,23.12,78.0,3.0,177.0,4.92,43,5.0213,2.1864,2831.05
R_1CBcqx5T9GZcMRt,23,976.54,42.46,23.0,12.0,168.0,10.5,20,4.2627,0.3969,299.05
R_1CDqTWLWIk642Vp,20,399.14,19.96,20.0,9.0,171.0,15.55,15,3.6414,4.0976,602.28
R_1CDsrhMg50NRqDR,5,240.67,48.13,5.0,21.0,159.0,79.5,4,1.9219,0.7108,518.09
R_1CEeWOcxWHKG89k,67,1221.63,18.23,68.0,6.0,174.0,9.16,39,4.541,1.8963,1901.3500000000001
R_1CHdyvBKOQ3uBZ4,30,377.8,12.59,30.0,3.0,177.0,11.06,22,4.1899,1.0653,304.75
R_1CIOVoUy3w1iF6O,34,1104.33,32.48,39.0,69.0,111.0,6.17,23,4.2532,0.1372,930.28
R_1CIQjlABWt7jZWc,66,1271.9,19.27,70.0,1.0,179.0,3.73,45,5.2584,1.1642,553.16
R_1CIacB07yGtR0gk,88,1798.13,20.43,98.0,27.0,153.0,5.1,47,5.0613,0.2459,903.57
R_1CJ6LgP7rtL24ny,31,1044.82,33.7,31.0,62.0,118.0,7.38,24,4.4295,0.3561,360.08
R_1CJSAA89V2pN4FB,2,16.63,8.32,2.0,68.0,112.0,112.0,1,-0.0,1.8186,0.0
R_1Cd5zmz07X5BqKa,41,844.14,20.59,44.0,17.0,163.0,7.76,28,4.3522,0.5944,1245.31
R_1CdSxzYzFm2SGuB,1,31.57,31.57,1.0,180.0,0.0,180.0,1,-0.0,0.0,7.35
R_1Cew4e6dmKZSryU,1,2.01,2.01,1.0,180.0,0.0,180.0,1,-0.0,0.0,140.5
R_1CexkWTJYOAs1Rc,15,393.31,26.22,15.0,16.0,164.0,27.33,11,3.2402,1.0512,283.58
R_1CjNNUhUiSbeOoM,6,209.01,34.84,7.0,56.0,124.0,62.0,4,1.9183,16.0899,172.43
R_1CjWIsByjtP0GxZ,31,486.65,15.7,31.0,13.0,167.0,7.59,20,4.0636,0.5086,757.5300000000001
R_1CjrqlIqihbkYgk,18,612.99,34.05,18.0,26.0,154.0,15.4,14,3.6144,0.3084,38.519999999999996
R_1ClnfW3zvg8zzL8,3,81.29,27.1,7.0,160.0,20.0,20.0,3,1.585,0.0,128.20000000000002
R_1ClqO4ZMDuwGjfl,50,956.62,19.13,50.0,16.0,164.0,7.13,28,4.3893,1.4868,1779.1
R_1CmhrU1GJmKnbwz,68,1431.32,21.05,70.0,21.0,159.0,4.82,38,4.6187,2.0199,1086.0
R_1CqGMkfiCiATbn4,10,247.27,24.73,10.0,11.0,169.0,24.14,8,2.8464,3.6497,306.79
R_1Cqo5jWbdtMOnzE,2,75.0,37.5,2.0,180.0,0.0,180.0,1,-0.0,0.0,0.0
R_1CrP2yfBldcblJm,18,706.8,39.27,18.0,39.0,141.0,9.4,14,3.7255,0.8936,230.63
R_1CsjLBKNdgim4ua,3,18.97,6.32,3.0,52.0,128.0,64.0,3,1.585,0.3569,27.380000000000003
R_1CwjzRpr3YtQm10,1,13.14,13.14,1.0,180.0,0.0,180.0,1,-0.0,0.0,0.0
R_1Cx2TzfSj9KxVhR,21,320.64,15.27,23.0,7.0,173.0,15.73,15,3.649,1.0352,299.89
R_1CxLS0volYi8suF,2,14.96,7.48,2.0,116.0,64.0,64.0,2,1.0,0.0,0.0
R_1Cxudu8A9eVd1uu,9,320.29,35.59,9.0,85.0,95.0,47.5,8,2.9477,0.111,163.44
R_1CyB9f5zdimvkgY,14,134.16,9.58,14.0,58.0,122.0,17.43,6,2.217,0.7611,1713.26
R_1DAmI2BFtglaWhP,18,483.34,26.85,18.0,58.0,122.0,17.43,13,3.4138,0.0933,10.74
R_1DArtWUMWCFGc0k,3,66.53,22.18,3.0,44.0,136.0,136.0,3,1.585,0.9212,42.48
R_1DBjajUfMYmS4cI,6,127.49,21.25,6.0,121.0,59.0,14.75,6,2.585,0.0,159.68
R_1DCt230xICUxYN0,14,186.04,13.29,17.0,53.0,127.0,18.14,8,2.5567,0.2741,53.22
R_1DGSlefke200soD,112,1866.57,16.67,113.0,7.0,173.0,3.93,69,5.7512,0.8264,3247.02
R_1DGVVsovR661OqT,12,522.37,43.53,12.0,29.0,151.0,25.17,10,3.1887,0.0673,20.79
R_1DGYq18HeymWNfH,1,2.95,2.95,1.0,180.0,0.0,180.0,1,-0.0,0.0,0.0
R_1DJ4QJgrJwK7g3Y,29,571.86,19.72,30.0,1.0,179.0,13.77,23,4.4182,0.2193,1190.38
R_1DJdUrYA1I0QAKh,26,232.92,8.96,27.0,15.0,165.0,27.5,10,2.9344,1.4428,319.1
R_1DLRE54vbCjvb6t,44,1214.8,27.61,49.0,4.0,176.0,8.8,27,4.4442,18.1367,1647.3799999999999
R_1DN3c0hBRQtsdUT,28,1693.93,60.5,29.0,6.0,174.0,10.88,19,3.9408,0.3427,600.54
R_1DO0yCFWRZwNW8m,14,617.43,44.1,15.0,30.0,150.0,15.0,12,3.4677,0.6447,306.1
R_1DO3QSVDoDTYM4y,19,350.47,18.45,19.0,3.0,177.0,25.29,13,3.3264,37.9844,354.12
R_1DOwHkGiX8DX7mF,69,1587.66,23.01,69.0,3.0,177.0,6.32,39,4.5639,0.3621,1730.81
R_1DTocDmr98DeSu5,18,476.5,26.47,18.0,111.0,69.0,9.86,13,3.5724,0.0,367.15999999999997
R_1DULPnUes4caEHg,91,1968.09,21.63,95.0,4.0,176.0,2.93,52,5.3511,1.1398,2055.53
R_1DUTc6uWTcrQ0eJ,6,121.7,20.28,6.0,56.0,124.0,41.33,4,1.9183,0.624,222.64000000000001
R_1DXTNttXJvyt2M8,49,1105.86,22.57,53.0,22.0,158.0,5.85,23,4.0555,1.5455,895.07
R_1DYWdbAMt6LyCZH,41,939.18,22.91,41.0,3.0,177.0,7.7,19,3.3213,1.133,1528.59
R_1DYjkc1gJNvrzzL,44,906.22,20.6,46.0,10.0,170.0,17.0,31,4.632,1.4667,1749.77
R_1DonBwcSlvKQtt9,1,19.88,19.88,1.0,180.0,0.0,180.0,1,-0.0,0.0,174.99
R_1DqZfuFgEoydLGw,7,162.7,23.24,7.0,4.0,176.0,35.2,6,2.5216,0.8934,131.61
R_1Du7cF5hhpQDgPP,16,231.77,14.49,16.0,19.0,161.0,32.2,16,4.0,1.8688,117.2
R_1DuNz7P7ow9xvT2,35,164.66,4.7,35.0,18.0,162.0,81.0,7,2.3213,2.4405,91.0
R_1DuoH6Bkf22R6Ck,17,248.62,14.62,17.0,57.0,123.0,15.38,12,3.3816,0.2702,289.96000000000004
R_1Duw20LaOXMnKSN,15,271.45,18.1,17.0,5.0,175.0,19.44,5,1.5589,1.0098,290.99
R_1DzG6V05pa3lHSx,9,150.13,16.68,9.0,84.0,96.0,19.2,7,2.7255,0.3092,249.11
R_1E09cCgzMzFPS25,6,508.79,84.8,6.0,55.0,125.0,41.67,6,2.585,0.0581,328.56
R_1E0ZZlhukNsNc7w,6,123.82,20.64,6.0,145.0,35.0,11.67,5,2.2516,0.0,49.61
R_1E3TJBNJVtr3tcD,99,2534.14,25.6,105.0,2.0,178.0,4.81,60,5.5536,0.8466,2192.46
R_1E53RXpod4qfyA7,26,462.68,17.8,26.0,14.0,166.0,10.38,17,3.7193,0.6283,303.56
R_1E5RqOd5LIHJqSq,8,106.45,13.31,10.0,65.0,115.0,28.75,5,2.25,0.7601,173.97
R_1E5U50Tc4uzCeY2,14,136.1,9.72,14.0,49.0,131.0,32.75,10,3.182,0.7154,25.839999999999996
R_1E6GWpRjzjM8bNK,9,376.29,41.81,9.0,99.0,81.0,20.25,7,2.7255,0.0,233.66
R_1E7ooGdyrfxLePW,11,163.73,14.88,11.0,10.0,170.0,56.67,10,3.2776,2.5218,42.48
R_1EYyNuRpRDjWWz1,3,53.08,17.69,3.0,101.0,79.0,39.5,2,0.9183,0.0,0.0
R_1EafkWC1L7tVe0w,60,2176.85,36.28,61.0,1.0,179.0,5.77,31,4.6018,3.7754,2042.03
R_1Eb0TuKdBzAPRU5,48,954.57,19.89,49.0,2.0,178.0,14.83,31,4.5323,1.1637,1294.17
R_1EbBdl7Uln82HNr,10,163.61,16.36,10.0,3.0,177.0,25.29,7,2.6464,0.5128,209.54
R_1EbOsVC9pLY3RmN,6,248.93,41.49,6.0,152.0,28.0,14.0,4,1.7925,0.0,509.16
R_1EcWoboad0WrY5X,5,121.22,24.24,5.0,61.0,119.0,29.75,5,2.3219,0.3505,389.54
R_1Egu0oETMcJuIOb,28,981.54,35.05,32.0,1.0,179.0,11.19,23,4.3213,1.5751,1020.65
R_1Eizh6ntwqDN9K1,3,78.73,26.24,4.0,53.0,127.0,63.5,3,1.585,0.0644,19.99
R_1F2tvNSRK2zrouN,32,662.16,20.69,34.0,2.0,178.0,16.18,15,3.3234,0.715,573.4399999999999
R_1F35QiIK5csZBEC,17,457.82,26.93,17.0,6.0,174.0,13.38,12,3.4104,3.8746,1032.97
R_1F4fgnTRZwHJ1WY,18,281.89,15.66,18.0,25.0,155.0,12.92,16,3.9477,0.5838,237.12
